model,accuracy,balanced_accuracy,macro_precision,macro_recall,macro_f1,weighted_precision,weighted_recall,weighted_f1,train_seconds,strict_test_inference_seconds,macro_ovr_roc_auc,result_source,model_id,model_revision,selected_checkpoint_during_training,final_saved_model_directory,best_validation_metric,device_batch_size,gradient_accumulation_steps,validation_inference_seconds,selected_alpha,validation_macro_f1,lexical_coverage,hybrid_rule
Majority baseline,0.4820261437908497,0.3333333333333333,0.1606753812636165,0.3333333333333333,0.2168320470415288,0.2323492032978769,0.4820261437908497,0.3135561464571127,,,,part2_clean_rerun,,,,,,,,,,,,
TF-IDF Linear SVM,0.5122549019607843,0.4388177882842038,0.4377269113398236,0.4388177882842038,0.4371798112288189,0.5258153936403667,0.5122549019607843,0.5185035176518472,0.4041477050000139,0.0322606309999855,0.630296894225733,part2_clean_rerun,,,,,,,,,,,,
TF-IDF Logistic Regression,0.5155228758169934,0.4566312074786651,0.4533399054425548,0.4566312074786651,0.4506198613050696,0.5444488958127736,0.5155228758169934,0.5267560348890756,3.802621584000008,0.0914130289999946,0.6411047707916784,part2_clean_rerun,,,,,,,,,,,,
TF-IDF Multinomial Naive Bayes,0.5727124183006536,0.4133337983306596,0.4179696834654111,0.4133337983306596,0.369335122242099,0.5442668115666177,0.5727124183006536,0.4987668367883826,0.2591407630000049,0.0257744799999954,0.6590616315284236,part2_clean_rerun,,,,,,,,,,,,
AfroLM,0.5049019607843137,0.4479513725904184,0.4446301304334603,0.4479513725904184,0.4420514725425022,0.5320969668715,0.5049019607843137,0.5163918769892218,316.033177089,1.994068370999912,0.6303130214643474,part2_clean_rerun,bonadossou/afrolm_active_learning,c726c59,/kaggle/working/FrenchyShona_Part2_Clean_Shona_Models_Multilingual/models/AfroLM_checkpoints/checkpoint-1479,/kaggle/working/FrenchyShona_Part2_Clean_Shona_Models_Multilingual/models/AfroLM,0.4603029081199779,16.0,1.0,1.4469226899999512,,,,
AfroXLMR,0.5620915032679739,0.5015024754823876,0.4939922961199557,0.5015024754823876,0.4955832398596144,0.5757039233885293,0.5620915032679739,0.5669012477826665,326.29193169200005,1.9116511780000565,0.6808233811274947,part2_clean_rerun,Davlan/afro-xlmr-base,25f2729,/kaggle/working/FrenchyShona_Part2_Clean_Shona_Models_Multilingual/models/AfroXLMR_checkpoints/checkpoint-1972,/kaggle/working/FrenchyShona_Part2_Clean_Shona_Models_Multilingual/models/AfroXLMR,0.4960186077179287,16.0,1.0,1.4558142610000004,,,,
AfriBERTa,0.4950980392156863,0.4685362072681595,0.4620035787034804,0.4685362072681595,0.4502266261706551,0.5542347028267807,0.4950980392156863,0.5158652772543652,179.53030364200004,1.477068233999944,0.6404520787130061,part2_clean_rerun,castorini/afriberta_base,95b703f,/kaggle/working/FrenchyShona_Part2_Clean_Shona_Models_Multilingual/models/AfriBERTa_checkpoints/checkpoint-1479,/kaggle/working/FrenchyShona_Part2_Clean_Shona_Models_Multilingual/models/AfriBERTa,0.4928938114935273,16.0,1.0,1.0964179640000111,,,,
Ensemble AfroXLMR AfriBERTa,0.5383986928104575,0.4882457473166826,0.4806294299134921,0.4882457473166826,0.4779213925328009,0.5727865457448595,0.5383986928104575,0.5515723372735427,,,0.67863541033363,part2_clean_rerun,,,,,,,,,,,,
Ensemble AfroLM AfroXLMR AfriBERTa,0.5465686274509803,0.4889545226331164,0.482031523777616,0.4889545226331164,0.4813420212577894,0.5726988786672915,0.5465686274509803,0.5571465414496755,,,0.6762752859020974,part2_clean_rerun,,,,,,,,,,,,
Coverage-aware hybrid AfroXLMR + FrenchyShona,0.5808823529411765,0.5069067183944773,0.5117165269574394,0.5069067183944773,0.5079688249670831,0.5792785378474239,0.5808823529411765,0.5787953965246164,,,0.6708078042946349,part2_clean_rerun,,,,,,,,,0.75,0.5146396376782566,0.909313725490196,coverage_aware
Coverage-aware hybrid Ensemble AfroLM AfroXLMR AfriBERTa + FrenchyShona,0.5580065359477124,0.4864986455381935,0.4824658514313686,0.4864986455381935,0.4837420164276147,0.5673092325222142,0.5580065359477124,0.5621657074444651,,,0.6743258957528585,part2_clean_rerun,,,,,,,,,0.9,0.5056838394371352,0.909313725490196,coverage_aware
